打印行	 println
使用	apply employment usage
全部	all whole wholly
修补	mend repair restore
伸展	extension stretch stretch
保险	insurance insure safety
像	image like resemble
偶然的	accidental casual occasional
作用	action impact role
伤害	harm injure injury
任命	appoint appointment constitute
位置	location position situation
货物	cargo freight goods
倾斜	lean slope slope
集中	centre concentrate concentration
领导	guidance lead leadership
领会	appreciate catch digest
练习	exercise practice practise
组成	compose consist constitute
组织	organization organize tissue
线	line string thread
纯粹的	absolute mere pure
给予	deal pay render
比	portion ratio than
比率	portion rate ratio
试验	experiment test trial
读	read read reading
计划	calculate plan scheme
计算	calculate compute count
证据	evidence of witness
评价	estimate evaluate value
语言	language tongue word
广泛的	broad comprehensive extensive
高	altitude height high
调整	adjust regulate setting
设想	concept fancy imagine
设备	equipment facility furniture
雇用	employ employment hire
变得	become get grow
变化	change transformation variation
诡计	scheme trap trick
摩擦	friction rub rub
诱惑	attract tempt temptation
许可	liberty license permission
谁	who whoever whom
认出	identify recognition recognize
认识	acquaintance know recognize
认为	believe consider think
高级的	advanced high sophisticated
熟练的	expert neat skilled
方式	fashion manner mode
滥用	abuse abuse
以后	after afterward
活跃的	active alive
之中	among amongst
解析	analyse analysis
分解	analyse analysis
分析	analyse analysis
任何人	anybody anyone
无论如何	anyhow anyway
靠近	apach apach
道歉	apologize apology
谢罪	apologize apology
认错	apologize apology
外观	air appearance
约定	appoint appointment
适当的	applicable appriate
周围	about around
装配	assemble assembly
集合	assemble assembly
助手	aid assistant
空气	air atmosphere
附加	add attach
洗澡	bath bathe
兽	animal beast
以前	ago before
在旁边	aside beside
归咎于	accuse blame
沸腾	boil bubble
球状物	ball bulb
束	beam bundle
事务	affair business
战役	battle campaign
撤消	avoid cancel
箱	box case
盒	box case
主席	chair chairman
可能性	bability chance
胸膛	breast chest
抉择	alternative choice
圆周	circle circumference
分类	classification classify
钟	bell clock
被褥	clothes clothing
衣服	clothes clothing
笨拙的	awkward clumsy
项圈	chain collar
收集	collect collection
安慰	comfort comfort
指挥	boss command
商业	business commerce
通讯	communicate communication
同伴	companion company
比较	compare comparison
抱怨	complain complaint
浓缩	concentrate concentration
指责	accuse condemn
压缩	compress condense
征服	conquer conquest
意识到的	aware conscious
考虑	consider consideration
建筑物	building construction
消耗	consume consumption
容纳	accommodate contain
容量	capacity content
习惯的	accustomed conventional
使确信	assure convince
调节	adjust coordinate
咳嗽	cough cough
农村	country countryside
兄弟	brother cousin
奶油	butter cream
动物	animal creature
家畜	cattle creature
生物	being creature
爬行	crawl creep
批评	criticism criticize
文明	civilization culture
文化	civilization culture
通用的	available current
黑色的	black dark
日期	date date
白昼	day daylight
黎明	dawn daylight
腐烂	decay decay
行骗	cheat deceive
契约	contract deed
肯定的	certain definite
投递	deliver delivery
分娩	birth delivery
司	bureau department
起程	depart departure
取得	acquire derive
形容	describe description
描写	describe description
可取的	advisable desirable
绝望	despair despair
打破	break destroy
侦察	detect detection
灭亡	death die
死	death die
差	badly difference
挖	bore dig
面积	area dimension
不一致	contradiction disagree
抛弃	abandon discard
丢弃	abandon discard
讨论	discuss discussion
论述	discuss discussion
磁盘	disc disk
唱片	disc disk
圆盘	disc disk
厌恶	disgust dislike
销毁	disposal dispose
不同	differ distinction
差别	difference distinction
分布	distribute distribution
分发	distribute distribution
区	belt district
渠道	channel ditch
沟渠	canal ditch
分开	apart divide
离婚	divorce divorce
证件	certificate document
宿舍	dorm dormitory
服装	clothes dress
漂流	drift drift
生产	duce duction
各	each each
舒适	comfort ease
喝	drink eat
经济学的	economic economical
第八	eight eighth
电的	electric electrical
消除	cure eliminate
别的	another else
强调	emphasis emphasize
遭遇	encounter encounter
结尾	conclusion ending
能	can energy
活力	activity energy
欣赏	appreciate enjoy
全部的	all entire
入口	access entrance
羡慕	admire envy
配备	equip equipment
相等的	equal equivalent
时代	age era
确立	establish establishment
设立	establish establishment
黄昏	dusk evening
每人	everybody everyone
人人	everybody everyone
考试	exam examination
细查	exam examination
交换	exchange exchange
生存	exist existence
预料	anticipate expect
期待	await expectation
期望	anticipate expectation
消费	consume expense
费用	charge expense
昂贵的	costly expensive
辩解	explain explanation
暴露	discover exposure
程度	degree extent
容易	ease facility
便利	convenience facility
事实	case fact
信心	confidence faith
样子	aspect fashion
有利的	beneficial favourable
害怕	fear fear
害怕的	afraid fearful
感情	emotion feeling
知觉	consciousness feeling
家伙	boy fellow
栅栏	barrier fence
影片	cinema film
决定性的	critical final
纤细的	delicate fine
第五	fifth five
平的	even flat
肉体	clay flesh
花	bloom flower
开花	bloom flower
飞行	flight fly
食物	bread food
强迫	compel force
永远	always forever
命运	fate fortune
创立	build found
框架	frame framework
构架	frame framework
直率的	direct frank
经常的	constant frequent
来	come from
前部	forehead front
肥沃的	fertile fruitful
多产的	fertile fruitful
娱乐	amuse fun
功能	action function
基金	foundation fund
资金	capital fund
基础的	basic fundamental
熔炉	forge furnace
更远地	farther further
更远的	farther further
注视	focus gaze
细菌	bacteria germ
天赋	genius gift
女儿	daughter girl
一瞥	glance glimpse
地球	earth globe
去	away go
再会	farewell goodbye
商品	brand goods
谷物	corn grain
程序	cedure gram
克	gram gramme
授予	accordance grant
引力	attraction gravity
招呼	greet greeting
问候	greet greeting
进展	advance gress
前进	advance gress
灰色	gray grey
灰色的	gray grey
健身房	gym gymnasium
体育馆	gym gymnasium
相当大的	considerable handsome
困难的	difficult hard
帽子	cap hat
憎恨	hate hatred
勇气	courage heart
高处	altitude height
高度	altitude height
喂	feed hello
今后	forward hence
她的	her hers
禁止	forbid hibit
他	he him
掌握	grasp hold
节日	festival holiday
空洞的	empty hollow
家	family home
家庭的	domestic home
光荣	glory honour
光荣的	glorious honourable
诚实的	honest honourable
绝望的	desperate hopeless
家庭	family household
庞大的	enormous huge
百	cent hundred
空闲的	free idle
坏	badly ill
病	disease illness
疾病	disease illness
图解	diagram illustration
想象	imagination imagine
直接的	direct immediate
改善	imve imvement
里	at in
增加	gain increase
自主	freedom independence
工业	employment industry
婴儿	baby infant
推断	deduce infer
有影响的	effective influential
输入	import input
打听	inquire inquiry
例子	example instance
立即的	immediate instant
习俗	convention institution
指示	indication instruct
仪器	apparatus instrument
干预	interfere interference
干涉	interfere interference
内的	interior internal
口译	interpret interpretation
打扰	disturb interrupt
间隔	gap interval
间距	distance interval
进	in into
入	in into
引进	introduce introduction
入侵	invade invasion
侵略	invade invasion
捏造	invent invention
投入	invest investment
投资	invest investment
发行	issue issue
条	bar item
条款	article item
工程	engineering ject
日报	daily journal
小孩	child kid
少年	boy kid
儿童	child kid
友好的	friendly kind
和蔼的	gentle kind
吻	kiss kiss
敲	beat knock
知道	know knowledge
研究室	lab laboratory
实验室	lab laboratory
持久	duration last
后来	afterward later
草地	grass lawn
设置	install lay
懒散的	idle lazy
知识	knowledge learning
课程	course lesson
证书	certificate letter
水平的	horizontal level
慷慨的	generous liberal
自由	freedom liberty
盖	cover lid
盖子	cover lid
生命	being life
一生	life lifetime
电梯	elevator lift
灯	lamp light
喜爱	enjoy like
又	and likewise
臂	arm limb
树枝	branch limb
限度	limit limitation
液体	fluid liquid
公升	liter litre
活的	live living
生活	exist living
装满	fill load
找出	find locate
远的	far long
环	link loop
上帝	god lord
喜欢	like love
忠诚的	faithful loyal
运气	fortune luck
幸运的	fortunate lucky
行李	baggage luggage
机器	machine machinery
杂志	journal magazine
有吸引力的	attractive magnetic
华丽的	brave magnificent
大陆	continent mainland
维持	maintain maintenance
维修	maintain maintenance
使	let make
对付	cope manage
人类	man mankind
结婚	marriage marry
团	lump mass
主人	host master
垫子	cushion mat
数学	mathematics maths
事情	affair matter
或许	bably maybe
大概	bably maybe
我	i me
平均的	average mean
作	give mean
尺寸	dimension measurement
肉	flesh meat
机械	machine mechanic
机械的	automatic mechanical
会见	interview meeting
智力的	intellectual mental
菜肴	dish menu
仁慈	kindness mercy
仅仅的	bare mere
信息	information message
表	list meter
方法	means method
记忆	memory mind
部	department ministry
少数	handful minority
痛苦的	bitter miserable
错误	error mistake
误解	mistake misunderstand
混淆	confuse mix
有节制的	moderate modest
修饰	decorate modify
瞬间	instant moment
此外	furthermore moreover
大部分	largely mostly
促进	accelerate mote
手势	gesture motion
发动机	engine motor
浇铸	cast mould
山	mount mountain
感动	affect move
活动	activity movement
电影院	cinema movie
电影	cinema movie
许多的	many much
肌肉	flesh muscle
共同的	common mutual
我的	mine my
钉	nail nail
天然的	crude natural
差不多	almost nearly
必定	certainly necessarily
必然的	inevitable necessary
必要的	essential necessary
缝补	mend needle
忽视	ignore neglect
胆量	courage nerve
网状物	net network
然而	however nevertheless
美好的	fine nice
北方的	north northern
注释	comment note
毫不	none nothing
宣布	announce nounce
核心	core nucleus
数	count number
数字	figure number
物体	bulk object
不喜欢	hate objection
障碍	barrier obstacle
显而易见的	noticeable obvious
占领	occupation occupy
由于	because of
社	bureau office
一次	once once
曾经	ever once
操作	operate operation
主张	claim opinion
对手	match opponent
即	namely or
矿	mine ore
器官	apparatus organ
机构	organ organization
出身	birth origin
另外	else otherwise
我们的	our ours
后果	consequence outcome
大纲	gram outline
输出	export output
突出的	minent outstanding
杰出的	excellent outstanding
超过	exceed over
克服	conquest overcome
赶上	catch overtake
牛	cattle ox
痛	ache pain
疼痛	ache pain
绘画	paint painting
盘子	dish pan
文章	article paper
游行	parade parade
检阅	inspect parade
节	knot paragraph
小包	packet parcel
包裹	package parcel
父亲	father parent
母亲	mother parent
公园	garden park
国会	congress parliament
议会	congress parliament
零件	detail part
微粒	atom particle
尤其	especially particularly
格外	especially particularly
特别	especially particularly
配偶	mate partner
通路	corridor passage
旅客	guest passenger
爱好	fancy passion
消极的	negative passive
轻拍	clap pat
中止	interrupt pause
脚爪	claw paw
支付	pay payment
和平的	pacific peaceful
农民	farmer peasant
特别的	extraordinary peculiar
穿过	cross penetrate
执行	enforce perform
演出	perform performance
个人的	intimate personal
性质	nature perty
石油	oil petroleum
方面	aspect phase
照片	photo photograph
相片	photo photograph
医生	doctor physician
野餐	picnic picnic
块	lump piece
剌穿	bite pierce
穿入	penetrate pierce
针	needle pin
打算	intend plan
工厂	factory plant
游戏	game play
运动场	field playground
舒适的	comfortable pleasant
使高兴	delight please
快乐	delight pleasure
乐事	joy pleasure
耕	cultivate plough
犁	plough plough
加	addition plus
诗	poem poetry
警察	police policeman
政治	government politics
污染	pollute pollution
流行的	fashionable popular
港口	harbour port
一部分	part portion
求婚	posal pose
积极的	active positive
所有	ownership possession
职位	position post
邮寄	mail post
邮件	mail post
盆	basin pot
猛击	bang pound
倒	backward pour
几乎	almost practically
赞扬	praise praise
赞美	celebrate praise
在前的	former preceding
精确的	exact precise
准确的	accurate precise
预测	forecast predict
准备	preparation prepare
出席	attend presence
礼物	gift present
提出	offer present
一会儿	minute presently
目前	present presently
保存	conservation preserve
会长	chairman president
压	press pressure
按	press pressure
预防	precaution prevent
在前	ahead previous
代价	cost price
自夸	boast pride
粗糙的	coarse primitive
印刷	print print
在先的	preceding prior
出版	publication publish
公布	publication publish
购买	buy purchase
纯洁的	clean pure
效果	effect purpose
钱包	bag purse
进行	ceed pursue
追赶	chase pursue
推	push push
数量	amount quantity
分量	measure quantity
行列	cession queue
安静的	peaceful quiet
退出	exit quit
引用	quotation quote
竞赛	match race
铁路	railroad railway
多雨的	moist rainy
耗子	mouse rat
宁愿	prefer rather
宁可	prefer rather
光线	light ray
读者	audience reader
实现	achieve realize
实在	existence really
王国	kingdom realm
国土	country realm
栽种	plant rear
后面	behind rear
推理	logic reason
收到	receipt receive
得到	obtain receive
最近	lately recently
接待	receive reception
识别	identify recognition
推荐	recommend recommendation
记录	record record
生殖	generate reduce
减小	reduce reduction
提及	mention reference
思考	consideration reflect
地带	climate region
登记	entry register
懊悔	regret regret
家属	folk relation
相对的	comparative relative
救济	relief relieve
信赖	confidence rely
依赖	depend rely
依靠	depend rely
冷淡的	cold remote
修理	mend repair
报告	inform report
描绘	describe represent
代表	represent representative
名声	fame reputation
名誉	name reputation
援救	relief rescue
预定	book reserve
居住	live residence
放弃	abandon resign
抵制	resist resistance
抵抗	resist resistance
办法	method resource
作答	respond response
职责	duty responsibility
责任	duty responsibility
休息	interval rest
克制	control restraint
遏制	restrain restraint
抑制	restrain restraint
限定	define restrict
保留	reserve retain
展现	duce reveal
背面	rear reverse
修改	modify revise
造反	rebel revolt
报答	reward reward
米	metre rice
正确的	correct right
正好	just right
公路	highway road
岩	bank rock
角色	character role
房间	chamber room
圆的	circular round
唤起	arouse rouse
日常的	everyday routine
划	draw row
行	range row
废话	nonsense rubbish
毁坏	damage ruin
毁灭	destruction ruin
统治	govern rule
奔	run rush
袋	bag sack
航行	navigation sail
同一的	identical same
卫星	moon satellite
满足	fulfil satisfy
节省	economy save
存款	fund saving
天平	balance scale
缺乏的	absent scarce
几乎不	hardly scarcely
余地	room scope
成绩	achievement score
得分	goal score
海洋	ocean sea
印记	impression seal
大臣	minister secretary
一段	length section
安全的	safe secure
安全	safety security
遇见	meet see
探索	explore seek
试图	attempt seek
似乎	appear seem
逮捕	arrest seize
难得	rarely seldom
很少	rarely seldom
自己	oneself self
自私的	mean selfish
卖	sale sell
年少的	junior senior
感觉	feeling sense
见识	horizon sense
明智的	advisable sensible
个别的	individual separate
次序	order sequence
继续	continue sequence
认真的	earnest serious
雇工	employee servant
服务	serve service
会议	conference session
放	put set
殖民地	colony settlement
几个	couple several
严厉的	harsh severe
阴影	cloud shadow
必须	must shall
浅的	pale shallow
羞耻	ashamed shame
形状	form shape
刮	scrape shave
她	her she
散发	emit shed
掩蔽	screen shelter
庇护	harbour shelter
光	light shine
冲击	impact shock
不足	lack shortage
立刻	now shortly
弹丸	bullet shot
缩小	lessen shrink
有病的	ill sick
签名	sign signature
意义	meaning significance
简化	reduce simplify
从	from since
非凡的	remarkable singular
单一的	single singular
降低	drop sink
姐妹	cousin sister
地基	foundation site
场所	location site
大小	scale size
滑冰	skate skate
略图	outline sketch
天空	heaven sky
睡	sleep sleep
切片	section slice
部分	portion slice
滑	slide slide
细长的	slender slight
裂缝	crack slit
小的	little small
气味	breath smell
微笑	smile smile
平静的	calm smooth
泡	bubble soak
浸	dip soak
社会	community society
土地	land soil
弄脏	pollute soil
泥土	clay soil
单独的	alone sole
解答	solution solve
某人	somebody someone
有人	somebody someone
儿子	child son
早	early soon
恼火的	mad sore
悲伤	distress sorrow
灵魂	ghost soul
健康的	healthy sound
酸的	acid sour
南方的	south southern
空白	blank space
一段时间	session span
特殊的	particular special
指定	assign specify
标本	sample specimen
样品	sample specimen
展望	outlook spect
演说	address speech
方言	dialect speech
拼字	spell spelling
花费	expense spend
度过	pass spend
球	ball sphere
使旋转	rotate spin
精神	soul spirit
精神的	mental spiritual
损坏	break spoil
斑点	mark spot
跃	leap spring
跳跃	leap spring
挤	milk squeeze
堆积	accumulate stack
阶段	phase stage
沾污	pollute stain
着色	painting stain
桩	post stake
奖品	award stake
跳起	bounce start
状态	condition state
阐明	clarify state
陈述	state statement
声明	declare statement
静的	calm static
台	stand station
所	bureau station
站	stand station
地位	room status
蒸发	evaporate steam
驾驶	drive steer
干	do stem
步	pace step
棒	rod stick
硬的	hard stiff
刺激	spur stimulate
激励	motivate stimulate
激发	motivate stimulate
动	move stir
激动	emotion stir
食欲	appetite stomach
石头	rock stone
宝石	jewel stone
贮藏	storage store
商店	shop store
炉	oven stove
尽力	exert strain
捆扎	pack strap
河	river stream
巩固	stability strengthen
加强	reinforce strengthen
重音	accent stress
着重	emphasize stress
严格的	severe strict
细绳	cord string
构造	constitution structure
学者	scholar student
学生	pupil student
学	learn study
塞	plug stuff
材料	material stuff
装	load stuff
式样	pattern style
服从	obey submit
物质	matter substance
物质的	physical substantial
代替	instead substitute
去掉	dispose subtract
减	minus subtract
郊区	skirt suburb
成就	achievement success
继承	inherit succession
连续的	continual successive
吸收	absorb suck
适合	fit suit
硫	sulfur sulphur
硫黄	sulfur sulphur
总数	amount sum
摘要	abstract summary
阳光	sunlight sunshine
猜想	infer suppose
假定	assume suppose
让	let suppose
最高的	peak supreme
确实的	certain sure
确信的	confident sure
地面	earth surface
表面	face surface
使惊奇	amaze surprise
围绕	environment surround
悬	hang suspend
疑心	suspect suspicion
支撑	support sustain
供养	support sustain
诅咒	curse swear
摇摆	swing swing
刀	knife sword
象征	represent symbol
记号	mark symbol
和谐的	musical sympathetic
一致	accordance sympathy
同感	sympathize sympathy
制度	institution system
标签	label tag
拿	handle take
故事	story tale
传说	story tale
才能	faculty talent
天才	genius talent
高的	high tall
塞子	plug tap
负担	bear tax
税	duty tax
先生	sir teacher
撕开	slit tear
技师	engineer technician
技巧	skill technique
技能	skill technique
工艺	craft technology
保卫	defend tect
警戒	tect tection
电报	cable telegram
电话	phone telephone
辨别	distinguish tell
心情	mood temper
温度	moisture temperature
临时的	occasional temporary
引诱	tempt temptation
护理	attend tend
趋向	tend tendency
拉紧	strain tension
学期	semester term
条件	circumstance term
恐怖	horror terror
纺织品	fabric textile
戏剧	stage theatre
教室	classroom theatre
他们	them they
密度	density thickness
物	object thing
虽然	although though
可是	but though
思想	idea thought
想法	idea thought
丝	silk thread
恐吓	threat threaten
威胁	threat threaten
扔	cast throw
掷	pitch throw
抛	cast throw
插	thrust thrust
因而	consequently thus
这样	so thus
时机	occasion time
时间	hour time
罐头	can tin
疲劳	fatigue tire
标题	heading title
到	onto to
浴室	bathroom toilet
宽恕	forgive tolerate
腔调	accent tone
也	likewise too
用具	appliance tool
器具	appliance tool
顶	roof top
折磨	rack torture
贸易	commerce trade
交易	bargain trade
惯例	convention tradition
交通	communication traffic
跟踪	trace trail
痕迹	trace trail
锻炼	exercise training
转移	shift transfer
转变	conversion transformation
改造	transform transformation
运送	convey transportation
碟	dish tray
盘	plate tray
珍视	prize treasure
治疗	remedy treatment
待遇	deal treatment
协议	agreement treaty
哆嗦	shiver tremble
审判	judgement trial
军队	army troop
困难	difficulty trouble
烦恼	trouble trouble
卡车	lorry truck
皮箱	luggage trunk
真实	reality truth
尝试	attempt try
试	trial try
地道	subway tunnel
十二个	dozen twelve
拧	pinch twist
型	pattern type
代表性的	representative typical
秘密的	secret underground
承担	assume undertake
取消	cancel undo
解开	loosen undo
忧虑的	anxious uneasy
团结	union unity
大学	college university
不知道的	ignorant unknown
卸货	unload unload
为止	till until
独特的	individual unusual
地位较高的	senior upper
正直的	straight upright
现代的	modern up-to-date
对待	treat usage
有用的	helpful useful
有益的	beneficial useful
平常的	ordinary usual
通常	normally usually
利用	exploit utilize
彻底的	thorough utter
讲	teach utter
假期	holiday vacation
有效的	effective valid
消失	disappear vanish
不同的	unlike various
大量的	abundant vast
结果是	follow ve
植物	plant vegetable
速度	rate velocity
速率	speed velocity
证实	confirm verify
译文	translation version
垂直的	upright vertical
经过	pass via
电视	television video
风景	scenery view
部门	section vince
看得见的	visible visual
容积	bulk volume
报酬	reward wage
等待	expect wait
等候	await wait
醒来	wake waken
冲出	punch wash
垃圾	rubbish waste
废物	rubbish waste
方向	direction way
我们	us we
丰富	plenty wealth
富的	rich wealthy
富裕的	plentiful wealthy
武器	arm weapon
婚礼	marriage wedding
哭泣	cry weep
称	balance weigh
重担	burden weight
好	okay well
西方的	west western
下雨的	rainy wet
小麦	corn wheat
哪一个	which which
完整的	complete whole
普遍的	universal widespread
宽度	breadth width
将要	shall will
愿意的	ready willing
气息	breath wind
翼	limb wing
电缆	cable wire
祝	may wish
才智	wisdom wit
智力	intelligence wit
一起	together with
收回	recall withdraw
证人	evidence witness
奇迹	miracle wonder
森林	forest wood
词	term word
工人	worker workman
车间	shop workshop
虫	insect worm
崇拜	worship worship
价值	value worth
无用的	useless worthless
无价值的	useless worthless
有价值的	valuable worthy
愿	will would
使受伤	hurt wound
作者	author writer
作家	author writer
书写	write writing
庭院	court yard
每年的	annual yearly
是	be yes
而	while yet
产量	output yield
你们的	your yours
青春	prime youth
青年们	young youth
区域	district zone
艾滋病	AIDS
调幅	AM
非洲的	African
非裔美国人	African-American
美国	American
阿拉伯	Arab
阿拉伯	Arabian
亚洲	Asian
大西洋	Atlantic
八月	August
澳大利亚	Australia
澳大利亚	Australian
公元前	B.C.
圣经	Bible
英国	Britain
英国人	British
首席执行官	CEO
加拿大	Canada
加拿大	Canadian
天主教徒	Catholic
中国	Chinese
基督教的	Christian
基督教	Christianity
圣诞节	Christmas
国会	Congress
库班	Cuban
脱氧核糖核酸	DNA
十二月	December
民主主义者	Democrat
荷兰人	Dutch
英语	English
欧洲的	European
虚伪的	FALSE
华氏	Fahrenheit
二月	February
法国	France
法国	French
德国	German
德国	Germany
上帝	God
希腊语	Greek
西班牙	Hispanic
一世	I
印度	India
印度人	Indian
因特网	Internet
伊拉克人	Iraqi
爱尔兰的	Irish
伊斯兰教	Islam
清真	Islamic
以色列	Israeli
意大利	Italian
一月	January
日本	Japanese
犹太人	Jew
犹	Jewish
朝鲜的	Korean
拉丁语	Latin
马克思主义	Marxisim
马克思主义者	Marxist
地中海	Mediterranean
水星	Mercury
墨西哥人	Mexican
先生	Mr
太太	Mrs
女士	Ms
穆斯林	Muslim
黑人	Negro
十一月	November
行	OK
大洋洲	Oceania
十月	October
奥林匹克	Olympic
奥运会	Olympics
个人计算机	PC
PM	PM
巴勒斯坦的	Palestinian
波斯语	Persian
葡萄牙语	Portuguese
共和党人	Republican
罗马	Roman
俄	Russian
参议院	Senate
九月	September
苏联	Soviet
西班牙语	Spanish
最高	Supreme
瑞士人	Swiss
汗衫	T-shirt
真实的	TRUE
电视	TV
感恩	Thanksgiving
星期四	Thursday
星期二	Tuesday
联合的	United
星期三	Wednesday
X-射线	X-ray
一个	a
能	able
异常	abnormal
船上	aboard
流产	abortion
大约	about
以上	above
国外	abroad
缺席	absent
绝对	absolute
绝对	absolutely
吸收	absorb
抽象	abstract
丰富	abundant
学者	academic
学院	academy
加快	accelerate
促进	acceleration
接受	accept
可接受	acceptable
访问	access
访问	accessible
附件	accessory
事故	accident
偶然	accidental
住所	accommodation
陪	accompany
完成	accomplish
成就	accomplishment
符合	accord
按照	accordance
根据	according
从而	accordingly
帐户	account
问责	accountability
会计	accounting
积累	accumulate
准确性	accuracy
准确	accurate
准确	accurately
指控	accusation
控	accuse
使习惯	accustom
习惯	accustomed
承认	acknowledge
获得	acquisition
英亩	acre
法案	act
活跃	active
积极地	actively
活动家	activist
演员	actor
女演员	actress
实际	actual
其实	actually
急性	acute
广告	ad
适应	adapt
添加	added
另外	additional
充足	adequate
形容词	adjective
调整	adjustment
管理	administer
管理	administration
行政的	administrative
管理员	administrator
佩服	admire
入场	admission
青少年	adolescent
采纳	adoption
成人	adult
推进	advance
先进	advanced
冒险	adventure
副词	adverb
广告	advertising
可取	advisable
劝	advise
顾问	adviser
主	advocate
飞机	aeroplane
审美	aesthetic
事	affair
影响	affect
感情	affection
给予	afford
怕	afraid
后	after
下午	afternoon
后来	afterward
再次	again
针对	against
机构	agency
议程	agenda
经纪人	agent
侵略	aggression
激进	aggressive
前	ago
痛苦	agony
同意	agree
农业的	agricultural
啊	ah
先	ahead
援助	aid
助手	aide
目的	aim
飞机	aircraft
航空公司	airline
飞机	airplane
机场	airport
走道	aisle
报警	alarm
专辑	album
酒精	alcohol
外侨	alien
一样	alike
活着	alive
所有	all
断言	allegation
所谓的	alleged
据称	allegedly
胡同	alley
联盟	alliance
合金	alloy
盟友	ally
几乎	almost
独	alone
沿	along
靠	alongside
字母	alphabet
已经	already
还	also
替代	alternative
虽然	although
海拔	altitude
共	altogether
铝	aluminium
铝	aluminum
总	always
惊奇	amaze
惊人	amazing
大使	ambassador
志向	ambition
有雄心	ambitious
救护车	ambulance
修订	amendment
际	amid
其中	among
其中包括	amongst
量	amount
安培	ampere
扩大	amplify
游玩	amuse
分析人士	analyst
分析	analyze
祖先	ancestor
古	ancient
和/或	and/or
天使	angel
角	angle
愤怒	angry
脚踝	ankle
周年	anniversary
公布	announce
公告	announcement
播音员	announcer
搅扰	annoy
全年	annual
每年	annually
匿名	anonymous
另一	another
答案	answer
急	anxious
任何	any
任何人	anybody
再	anymore
任何人	anyone
什么	anything
无论如何	anyway
随地	anywhere
相距	apart
公寓	apartment
歉意	apology
设备	apparatus
明显的	apparent
显然地	apparently
上诉	appeal
外形	appearance
苹果	apple
适用	applicable
应用	application
申请	apply
升值	appreciation
途径	approach
适当	appropriate
承认	approval
批准	approve
约	approximately
随意	arbitrary
建筑师	architect
架构	architecture
区域	area
竞技场	arena
算术	arithmetic
武装	armed
军队	army
周围	around
安排	arrange
排列	array
箭头	arrow
说出	articulate
神器	artifact
人造	artificial
艺术家	artist
艺术的	artistic
如	as
惭愧	ashamed
旁白	aside
睡着	asleep
屁股	ass
突击	assault
组合	assemble
部件	assembly
断言	assert
评估	assess
评定	assessment
财富	asset
分配	assignment
助攻	assist
援助	assistance
联想	associate
关联	associated
联想	association
假设	assume
假设	assumption
震惊	astonish
宇航员	astronaut
天文学家	astronomer
运动员	athlete
竞技	athletic
大气的	atmospheric
原子	atomic
顶上	atop
附	attach
攻击	attack
勤	attendance
细心	attentive
律师	attorney
吸引力	attractive
拍卖	auction
姑妈	aunt
听觉	aural
笔者	author
权威	authority
授权	authorize
汽车	auto
自动	automatic
自动	automatically
自动化	automation
汽车	automobile
自治	autonomy
辅	auxiliary
可用性	availability
可用的	available
平均	average
航空	aviation
等待	await
醒	awake
察觉	aware
意识	awareness
远	away
可怕	awful
要命	awfully
尴尬	awkward
斧	ax
轴	axis
婴儿	baby
背部	back
后院	backyard
菌	bacteria
坏	bad
惨	badly
羽毛球	badminton
行李	baggage
平衡	balance
均衡	balanced
气球	balloon
抽签	ballot
禁令	ban
香蕉	banana
砰	bang
银行家	banker
银行业	banking
破产	bankruptcy
旗帜	banner
酒吧	bar
理发师	barber
裸	bare
仅仅	barely
讨价还价	bargain
吠	bark
谷仓	barn
棒球	baseball
地下室	basement
基本	basic
基本上	basically
依据	basis
篮球	basketball
蝙蝠	bat
浴室	bathroom
战斗	battle
海湾	bay
光束	beam
豆	bean
熊	bear
胡子	beard
击败	beat
美丽	beautiful
美女	beauty
因为	because
卧室	bedroom
蜜蜂	bee
牛肉	beef
啤酒	beer
前	before
求	beg
乞丐	beggar
开始	begin
代表	behalf
行为	behavioral
背后	behind
相信	believe
肚	belly
属于	belong
亲爱的	beloved
下面	below
弯	bend
下面	beneath
有利	beneficial
好处	benefit
浆果	berry
旁	beside
除了	besides
最好	best
赌注	bet
背叛	betray
更好	better
之间	between
外	beyond
偏见	bias
自行车	bicycle
投标	bid
大	big
自行车	bike
法案	bill
十亿	billion
传记	biography
生物	biological
生物学	biology
鸟	bird
生日	birthday
饼干	biscuit
主教	bishop
位	bit
苦	bitter
痛	bitterly
黑	black
怪	blame
空白	blank
毯	blanket
爆破	blast
火焰	blaze
混合	blend
保佑	bless
祝福	blessing
盲	blind
眨眼睛	blink
块	block
金发	blond
血腥	bloody
开花	blossom
打击	blow
蓝色	blue
板	board
夸	boast
船	boat
体	body
熬	boil
胆大	bold
炸弹	bomb
轰炸	bombing
债券	bond
骨	bone
奖金	bonus
繁荣	boom
促进	boost
靴	boot
亭	booth
边境	border
孔	bore
无聊	boring
天生	born
怀	bosom
两	both
瓶子	bottle
树干	bough
弹跳	bounce
界	bound
边界	boundary
男朋友	boyfriend
大脑	brain
支	branch
牌	brand
白兰地	brandy
黄铜	brass
勇敢	brave
宽	breadth
破	break
早餐	breakfast
呼吸	breathe
呼吸	breathing
品种	breed
微风	breeze
新娘	bride
简要	brief
简要地	briefly
光明	bright
变亮	brighten
辉煌	brilliant
边	brim
带	bring
轻快	brisk
鬃	bristle
脆	brittle
宽	broad
广播	broadcast
破	broken
经纪人	broker
青铜	bronze
窝	brood
溪	brook
扫帚	broom
哥	brother
褐色	brown
挫伤	bruise
刷	brush
残酷	brutal
